,name,id,type,price,material,description,colors,sizes,details
0,Leather Coat,825551V5BX06840,Outerwear,13000,100% Lambskin,Coat in midweight soft nappa lambskin with fish shaped lapels.,Aubergine,46,Midweight soft nappa lambskin coat|Midweight soft nappa lambskin coat|Fish lapels|Button and belt closure|Lined|Regular fit
1,Fleck Viscose Coat,820069V5CC02641,Outerwear,3900,"40% viscose, 27% cotton, 16% mulberry silk, 8% silk, 7% polyester, 2% linen",Coat in multicolour fleck viscose.,Sahara Melange/Multicolor,44/46/48/50,Multicolor fleck viscose coat|Multicolor fleck viscose coat|Hidden button closure|Unlined|Relaxed fit 
2,Sartorial Wool Twill Coat,820069V3PH06155,Outerwear,3200,100% Wool,Car coat in sartorial wool twill.,Rosewood,46/48/50,Sartorial wool twill car coat|Sartorial wool twill car coat|Hidden button closure|Unlined|Regular fit
3,Fleck Viscose Waistcoat,823214V5CC02749,Outerwear,2550,"40% viscose, 27% cotton, 16% mulberry silk, 8% silk, 7% polyester, 2% linen",Waistcoat in multicolour fleck viscose.,Brown Melange/Multicolor,44/46/48/50,Multicolor fleck viscose waistcoat|Multicolor fleck viscose waistcoat|Button closure
4,Wool Subtle Chevron Coat,820035V5C404553,Outerwear,4000,100% Wool,Oversized tailored coat in subtle chevron wool.,Bluestone/Grey Melange,44/46/48/50,Wool subtle chevron tailored coat|Wool subtle chevron tailored coat|Button closure|Fully lined|Oversized fit
5,Double Wool And Cashmere Coat,812166V3OO01787,Outerwear,5200,"70% wool, 30% cashmere",Single breasted coat in light double face wool and cashmere.,Peppercorn Melange,44/46/48/50,Light double face wool and cashmere single breasted coat|Light double face wool and cashmere single breasted coat|Three-button closure|Lined
6,Wool Chevron Coat,812380V4YM01691,Outerwear,4600,"97% wool, 3 % polyester",Single breasted chevron coat in wool.,Black/Chalk/Beige,44/46/48/50/52,Single breasted wool chevron coat|Single breasted wool chevron coat|Special label on the interior|Leather knot button closure |Lined
7,Intrecciato Leather Coat,813015V2JG03293,Outerwear,12300,100% lambskin,Coat made with Intrecciato craftsmanship in soft leather.,Shrub,46/48/50/52,Intrecciato lambskin coat|Intrecciato lambskin coat|Button closure |Unlined
8,Double Face Wool Trench Coat,797760V4CB01307,Outerwear,5600,100% wool,Trench coat in double face wool.,Charcoal Melange,44/46/48/50,Double face wool trench coat|Double face wool trench coat|Button and belt closure|Unlined|Relaxed fit
9,Notebook Wool Cotton Trench Coat,798075V4N702362,Outerwear,6400,"50% wool, 48% cotton, 2% silk",Trench coat in bonded wool and cotton with notebook pattern.,Granola/Pink/Blue,46/48,Notebook bonded wool and cotton trench coat|Notebook bonded wool and cotton trench coat|Snap button and belt closure|Relaxed fit
