,name,id,type,price,material,description,colors,sizes,details
40,Long Re-Nylon down jacket,SGC112_1WQ8_F0002_S_222,Outerwear,7700,Nylon,"This long jacket with goose down padding is made of Re-Nylon, the innovative regenerated nylon fabric produced from plastic materials collected in the ocean. The design is characterized by the oversized line and removable hood. The garment is decorated with the iconic enameled metal triangle logo. For sustainable care to preserve the product's characteristics and reduce microfiber shedding, we recommend not washing the item too often. Let the product air out after every use and have it dry cleaned at a specialized ecological dry cleaners.",Black,48/48/50/52/54,Regular fit|Stand up collar with removable hood|Straight sleeve|Zipper closure|Elasticized cuff with snaps|Regular shoulder|Straight hem|Elasticized drawstring|Fur lined and padded with goose down|Enameled metal triangle logo on the front
41,Re-Nylon bomber jacket,SGB903_1WQ8_F0002_S_222,Outerwear,3450,100% recycled polyamide,"This bomber jacket is defined by its slightly oversized line and draped details on the sleeves that give the garment unique volume. Made of Re-Nylon, a fabric of industrial inspiration emblematic of the brand and obtained from recycled plastic materials collected in the ocean, the garment features a three-dimensional pouch on the sleeve in the shape of Prada's iconic triangle. For sustainable care to preserve the product's characteristics and reduce microfiber shedding, we recommend not washing the item too often. Let the product air out after every use and have it dry cleaned at a specialized ecological dry cleaners.",Black,M/M/L/XL,Oversized fit|Shirt collar|Straight sleeve|Zipper closure|Flap pockets|Ribbed knit cuff|Drop shoulder|Straight ribbed knit hem|Lined and padded|Enameled metal triangle logo on the front|With pouch pocket
42,Re-Nylon vest,SGC261_1WQ8_F0002_S_231,Outerwear,1520,100% recycled polyamide,"Technical clothing style codes meet innovative fabrics and unusual constructions in the modern allure of this vest. Made of innovative Re-Nylon, this style features functional pockets and a center zipper closure. The piece features the iconic enameled-metal triangle logo on the front. For sustainable care to preserve the product's characteristics and reduce microfiber shedding, we recommend not washing the item too often. Let the product air out after every use and have it dry cleaned at a specialized ecological dry cleaners.",Black,44/44/46/48/50/52/54/56/58/60,Regular fit|V-neck|Zipper closure|Pouch pockets|Regular shoulders|Straight hem|Unlined|Enameled-metal triangle logo on the front
43,Stretch technical fabric zipper sweatshirt,SGC180_11QL_F0008_S_231,Outerwear,2850,11% elastane 89% recycled polyester,This stretch technical fabric zipper sweatshirt defined by its regular fit and stand-up collar embodies a classic attitude given a contemporary twist. The original mix of sportswear and minimalism reflects the inherent duality of Prada collections.,Navy,44/44/46/50,Regular fit|Knit collar|Straight sleeve|Zipper closure|Pockets with hidden zippers|Ribbed knit cuffs|Narrow shoulder|Straight hem|Elasticized drawstring|Lined and padded with recycled fabric|Enameled metal triangle logo on the front
44,Stretch cotton blouson jacket,SGC513_12VC_F0SVF_S_OOO,Outerwear,2750,78% cotton 4% elastane 18% polyamide,"This stretch cotton blouson jacket with casual charm has a contemporary, minimalist silhouette. The garment with shirt-style collar and zipper closure is completed by the sleek signature of the fabric triangle logo reinterpreted with a conceptual design. ",Blue,M/M/L/XL/XXL/XXXL,Regular fit|Shirt-style collar|Straight sleeve|Zipper closure|Welt pockets|Buttoned cuff|Regular shoulder|Straight hem|Unlined|Fabric triangle logo on the front
45,Cotton blouson jacket,SGC531_1XV2_F0002_S_OOO,Outerwear,2650,100% cotton,"This cotton blouson jacket with contemporary, minimalist lines has a sleek silhouette and details. The oversized style with shirt-style collar is defined by casual elements such as the zipper closure and drawstring hem. The fabric triangle logo reinterpreted with a conceptual design completes the style with an iconic note.",Black,S/S/M/XL/XXL,Loose fit|Shirt-style collar|Straight sleeve|Zipper closure|Welt pockets|Elasticized cuff|Drop shoulder|Straight hem|Elasticized drawstring hem|Unlined|Fabric triangle logo on the back
46,Cropped corduroy down jacket,SGC692_13YO_F0002_S_OOO,Outerwear,3200,100% cotton,"The unmistakable texture of corduroy enhances the soft volumes of this down jacket with sporty details, embellished with the iconic triangle logo. For sustainable care to preserve the product's characteristics and reduce microfiber shedding, we recommend not washing the item too often. Let the product air out after every use and have it dry cleaned at a specialized ecological dry cleaners.",Black,S/S/M/L/XL/XXL/XXXL,Oversized fit|Stand-up collar|Straight sleeves|Zipper and snap closure|Pouch pockets|Elasticized cuff|Wide shoulder|Straight hem|Elastic drawstring|Lined and padded with goose down|Stowaway hood|Enameled metal triangle logo on the front
47,Cropped corduroy down jacket,SGC694_13YO_F0346_S_OOO,Outerwear,3200,100% cotton,"Hybrid details blending classic and sporty styles define this corduroy down jacket with oversized lines, embellished with the iconic enameled metal triangle logo.",Barley,XS/XS/S/M/L/XL,Oversized fit|Shirt-style collar|Straight sleeve|Snap closure|Welt zipper pockets|Straight cuff|Drop shoulder|Straight hem|Lined in recycled fabric|Enameled metal triangle logo on the front
48,Corduroy down vest,SGC693_13YO_F0346_S_OOO,Outerwear,2500,100% cotton,"The unmistakable texture of corduroy enhances the soft volumes of this down vest with sporty details, embellished with the iconic triangle logo. For sustainable care to preserve the product's characteristics and reduce microfiber shedding, we recommend not washing the item too often. Let the product air out after every use and have it dry cleaned at a specialized ecological dry cleaners.",Barley,XS/XS/S/M/L/XL/XXL/XXXL,Oversized fit|Stand-up collar|Straight sleeves|Zipper and snap closure|Pouch pockets|Wide shoulder|Straight hem|Elastic drawstring|Lined and padded with goose down|Stowaway hood|Enameled metal triangle logo on the front
49,Corduroy vest,SGC701_144R_F0346_S_OOO,Outerwear,2650,100% cotton,"This vest with sleek lines and a hybrid design is enriched by the unmistakable texture of corduroy that gives a casual look to the style decorated with the triangle logo. For sustainable care to preserve the product's characteristics and reduce microfiber shedding, we recommend not washing the item too often. Let the product air out after every use and have it dry cleaned at a specialized ecological dry cleaners.",Barley,S/S/M/L/XL,Regular fit|V-neck|Snap closure|Pouch pockets|Regular shoulder|Straight hem|Lined and quilted|Enameled metal triangle logo on the front
50,Cashmere blouson jacket,SGB713_1YEQ_F0002_S_202,Outerwear,11300,Cashmere,"This men's blouson jacket comes in fine cashmere cloth made from very fine fibers bonded to a bio-based, waterproof and windproof technical membrane. For a second protective barrier, the cashmere undergoes a PCF Free waterproofing treatment that is free of toxic substances for the environment and primarily produced from renewable plant-based materials. Prada's duality is also expressed through the construction of its fabrics: traditional luxurious materials are combined with innovative, eco-sustainable, high-performance technical fibers.",Black,46/46/54/56,"Regular fit|Hooded collar|Straight sleeves|Zipper closure|Welt pockets|Elasticized cuffs|Regular shoulder|Elasticized hem|Hood drawstring with leather tip, elasticized drawstring on the hem|Lined and padded"
51,Wool blend and shearling jacket,SGC419_1Y5U_F0008_S_232,Outerwear,10000,2% polyamide 10% cashmere 88% virgin wool,"In a process of reduction, simple shapes meet refined design in this jacket with contemporary elegance. The enveloping silhouette made of a wool blend fabric is enriched by minimalist details such as the iconic triangle logo, reinterpreted in a conceptual way, which adds its iconic signature touch to the jacket with casual style.",Navy,46/46/48/52/54,Regular fit|Stand-up collar|Straight sleeve|Zipper and button closure|Welt pockets|Ribbed knit cuff|Drop shoulder|Straight hem|Shearling lining|Fabric triangle logo on the front
52,Cashmere down vest,SGC417_1YEQ_F0008_S_FOO,Outerwear,4800,100% cashmere,The soft and precious touch of cashmere gives this sporty down vest a refined character.,"Navy, Albino White",S/S/M/XL/XXL/XXXL,Regular fit|Stand-up collar|Zipper closure|Welt zipper pockets|Regular shoulder|Straight hem|Elasticized drawstring|Lined and padded with goose down|Heat-sealed taped seams|Enameled metal triangle logo on the front
53,Cashmere down vest,SGC417_1YEQ_F0627_S_FOO,Outerwear,4800,100% cashmere,The soft and precious touch of cashmere gives this sporty down vest a refined character.,"Navy, Albino White",S/S/M/L/XL/XXL/XXXL,Regular fit|Stand-up collar|Zipper closure|Welt zipper pockets|Regular shoulder|Straight hem|Elasticized drawstring|Lined and padded with goose down|Heat-sealed taped seams|Enameled metal triangle logo on the front
54,Medium-weight cashmere down jacket,SGC718_1YER_F0008_S_OOO,Outerwear,9000,100% cashmere,"This cashmere down jacket with a sporty style and contemporary design is characterized by enveloping lines, soft volumes, and sleek details. ",Navy,XS/XS/S/M/L/XL/XXL/XXXL,Oversized fit|Stand-up collar|Straight sleeve|Zipper closure and buttons|Wide welt pockets|Straight cuff|Wide shoulder|Straight hem|Unlined|Heat-sealed tape seams|Stowaway hood|Fabric triangle logo|Enameled metal triangle logo inside
55,Wool down jacket,SGC580_15J0_F0308_S_OOO,Outerwear,7000,100% virgin wool,"The duality between sartorial elegance and sport inspires the design of this goose down jacket with a versatile hybrid design and pragmatic character. For sustainable care to preserve the product's characteristics and reduce microfiber shedding, we recommend not washing the item too often. Let the product air out after every use and have it dry cleaned at a specialized ecological dry cleaners.",Anthracite Gray,S/S/M/L/XL/XXL,Oversized fit|Notch lapel|Straight sleeves|Button closure|Flap pockets|Straight cuff|Wide shoulder|Straight hem|Elasticized drawstring|Lined and padded with goose down|With removable padded down liner|Knit triangle logo
56,Silk and leather blouson jacket ,SGC551_13ZN_F0002_S_OOO,Outerwear,6400,100% silk,"The play of contrasts between delicate silk and bold leather defines this blouson jacket with contemporary allure. The garment with pragmatic and sporty details, characterized by a collar with hood and zipper closure, is enriched by the enameled metal triangle logo. ",Black,S/S/M/L/XL/XXL,Regular fit|Stand-up collar with hood|Straight sleeves|Zipper closure|Welt zipper pockets|Elasticized cuff|Regular shoulder|Straight hem|Elasticized drawstring|Lined|Leather insert|Enameled metal triangle logo on the front
57,Cotton blend vest,SGC630_1480_F0005_S_OOO,Outerwear,2050,"35% cotton, 65% polyester",This cotton blend vest with stand-up collar and zipper closure features a contemporary design with sleek details. The style that reinterprets workwear with a minimalist aesthetic is enriched by an archive logo with a vintage finish printed in a contrasting color. ,Tobacco,44/44/46/48/50/52/54/56/58/60,Regular fit|Stand-up collar|Zipper closure|Welt pockets|Regular shoulder|Straight hem|Unlined|Lettering logo printed on the front
58,Cotton blend blouson jacket,SGC629_1480_F0L76_S_OOO,Outerwear,2350,"35% cotton, 65% polyester",This cotton blend blouson jacket with a boxy fit features a contemporary design with sleek details. The style that reinterprets workwear with a minimalist aesthetic is enriched by the archive logo with vintage finish printed in a contrasting color. ,Billiard Green,46/46/52/56/58,Regular fit|Shirt-style collar|Straight sleeve|Zipper closure|Welt pockets|Cuff with strap and button|Regular shoulder|Straight hem|Unlined|Lettering logo printed on the front
59,Cotton blend jacket,SGC628_1480_F0F24_S_OOO,Outerwear,2450,"35% cotton, 65% polyester","The design of this cotton blend jacket blends contemporary minimalism and sporty influences. Clean lines form the sleek silhouette, characterized by a stand-up collar with buttons and zipper closure. The style is completed by an archive logo printed in a contrasting color. ",Desert Beige,46/46/48,Regular fit|Stand-up collar|Raglan sleeves|Zipper closure|Welt pockets|Cuff with strap and button|Regular shoulder|Straight hem|Lined|Lettering logo printed on the front
