,name,id,type,price,material,description,colors,sizes,imageCount
18,B243 Flare Denim,6748357754952,Denim,38.0,100% cotton,"The B243 Flare Denim Are Designed With Our New B Fit, Which Is Slim Through The Thigh And Features A Slight Flare At The Leg Opening And Is Constructed From Washed Brown Duck Twill, Work Pants Panelling Removed After Wash For Contrasting Wash Area, Panelling At The Inseam And Outseam For A Slight Flare, Paint Splatter Throughout, And Finished With A Deconstructed Hem.",Khaki,28/29/30/31/32/33/34/36/38/40/42,8
19,Zipper Teeth Denim Shorts,6907634942024,Denim,64.0,100% cotton,"The Zipper Baggy Denim Shorts Are Designed With A Relaxed Fit Throughout, Extended Inseam Length For A Vintage Inspired Fit, Constructed From A Vintage Washed Blue Cotton Denim, And Finished Off With Zipper Closure Pockets At The Outseam.",Light Blue,28/29/30/31/32/33/34/36/38/40/42,8
20,Baggy Denim,6922651631688,Denim,68.0,100% cotton,"The New Baggy Denim Are Designed With Our New And Updated Baggy Fit, Which Is Relaxed Throughout For Increased Comfort And Updated Look, And Is Constructed From 100% 13 Oz Black Cotton Denim With A Vintage Wash, And Finished With Traditional Five Pocket Denim Details.",Washed Black,28/29/30/31/32/33/34/36/38/40/42,7
21,Ultra Baggy Mojave Denim,6912200769608,Denim,88.0,100% cotton,"The Ultra Baggy Mojave Denim Are Designed With A New Oversized Ultra Baggy Fit, Constructed From Denim With A Vintage Wash, Featuring Standard Five Pocket Denim Details, Distressing At The Knees, A Button Placket, And Finished With Stud And Jewel Details Along The Outseam.",Vintage Blue,28/29/30/31/32/33/34/36/38/40/42,7
22,Flame Denim Shorts,6900020215880,Denim,74.0,100% cotton,"Introducing Our Flame Denim Shorts, Crafted From 100% Cotton Denim For Ultimate Comfort. These Shorts Feature A Standard Fit, Ensuring A Timeless Silhouette. With Intricate Flame And Dual-Tone Detailing, Along With A Distressed Finish, They Exude A Bold And Edgy Style. ",Washed Black,28/29/30/31/32/33/34/36/38/40/42,7
23,Ultra Baggy Mojave Denim,6912200802376,Denim,88.0,100% cotton,"The Ultra Baggy Mojave Denim Are Designed With A New Oversized Ultra Baggy Fit, Constructed From Denim With A Vintage Wash, Featuring Standard Five Pocket Denim Details, Distressing At The Knees, A Button Placket, And Finished With Stud And Jewel Details Along The Outseam.",Washed Black,28/29/30/31/32/33/34/36/38/40/42,8
24,Inside Out Slip off Denim,6901145272392,Denim,88.0,92% cotton 7% polyester 1% spandex,"The Inside Out Slip Off Denim Are Designed With A New Oversized Ultra Baggy Fit, Constructed From Rinsed, Raw Denim, Featuring Standard Five Pocket Denim Details On The Base Layer, A Second, External Layer From Inside Out Denim With Complete Waist Details, And Finished With A Shoestring Belt.",Washed Black,28/29/30/31/32/33/34/36/38/40/42,8
25,Bootcut Denim,6922651664456,Denim,68.0,100% cotton,"The New Bootcut Denim Are Designed With Our New And Updated Bootcut Fit, Which Is Relaxed Through The Thigh And Features A Slight Flare At The Leg Opening And Is Constructed From 100% 13 Oz Black Cotton Denim With A Vintage Wash, And Finished With Traditional Five Pocket Denim Details.",Washed Black,28/29/30/31/32/33/34/36/38/40/42,7
26,Raw Slim Denim,6922651467848,Denim,72.0,92% cotton 7% polyester 1% spandex,"The New Raw Slim Denim Is Made From Deep Indigo 13 Oz Stretch Cotton Denim That Keeps The Look Of Raw With A Single Rinse To Reduce Dye Transfer And Shrinkage. The Color Stays Rich, The Structure Stays Sharp, And The Fabric Softens Slightly For A More Comfortable Wear From Day One. These Slim Denim Are Designed With Our New And Updated Slim Fit, Which Is Slim Throughout For An Updated Look, And Finished With Traditional Five Pocket Denim Details.",Rinsed Indigo,28/29/30/31/32/33/34/36/38/40/42,7
27,Ultra Baggy Orange Dusted Denim,6901144191048,Denim,74.0,100% cotton,"The Ultra Baggy Orange Dusted Denim Are Designed With A New Oversized Ultra Baggy Fit, Constructed From Denim With A Vintage Light Wash With An Oil Wash, Featuring Standard Five Pocket Denim Details, Distressing At The Knees And Finished With A Button Placket.",Blue,28/29/30/31/32/33/34/36/38/40/42,7
